169.234.97.101 - - [04/Mar/2018:13:03:07 -0800] "GET /project3/Autocompletion?query=jo HTTP/1.1" 200 3311
169.234.97.101 - - [04/Mar/2018:13:03:09 -0800] "GET /project3/Autocompletion?query=joh HTTP/1.1" 200 3441
169.234.97.101 - - [04/Mar/2018:13:03:10 -0800] "GET /project3/Autocompletion?query=john HTTP/1.1" 200 3441
169.234.97.101 - - [04/Mar/2018:13:03:16 -0800] "GET /project3/Autocompletion?query=John HTTP/1.1" 200 3441
169.234.97.101 - - [04/Mar/2018:13:03:30 -0800] "GET /project3/run_search?title=Johnny+Depp&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:03:30 -0800] "GET /project3/movie_list HTTP/1.1" 200 2333
169.234.97.101 - - [04/Mar/2018:13:03:30 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:03:30 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:03:30 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:03:30 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:14:39:42 -0800] "GET /project3/Autocompletion?query=g HTTP/1.1" 200 3381
169.234.97.101 - - [04/Mar/2018:14:40:01 -0800] "GET /project3/Autocompletion?query=g HTTP/1.1" 200 3381
169.234.97.101 - - [04/Mar/2018:14:45:24 -0800] "GET /project3/movie_list HTTP/1.1" 500 2359
127.0.0.1 - - [04/Mar/2018:14:46:04 -0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:04 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:05 -0800] "GET /project3/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:05 -0800] "GET /project3/login HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:05 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:05 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:05 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [04/Mar/2018:14:46:05 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3 HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3/ HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3/login HTTP/1.1" 200 3024
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:14:46:13 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:14:46:17 -0800] "POST /project3/loginhandle HTTP/1.1" 302 -
